#1 (str) Fach ID;Gruppen Ids;#2 (str) Fach;MV (nicht Dozent!);Gruppe;;
WPM StratPlan;WPM WI-M;Strategic Planning for Engineers;Doehl;WIM - WPM;;
WPM StratPlan;WPM WW-M;Strategic Planning for Engineers;Doehl;MBA - WPM;;
WPM Stud-wettbewerb;;;;;;
WPM System Ergo;;Systemergonomie;Brombach;;;
WPM TechTradeLaw;WPM WI-M;Technicall Harmonisation in Europe and International Trade Law;Wilrich;WIM - WPM;;
WPM TechTradeLaw;WPM WW-M;Technicall Harmonisation in Europe and International Trade Law;Wilrich;MBA - WPM;;
WPM TechTradeLaw;CIE;Technicall Harmonisation in Europe and International Trade Law;Wilrich;CIE - CIE;;
WPM U-Gründ;WPM WI-M;Unternehmensgründung und -nachfolge;Ruehlemann;WIM - WPM;;
WPM U-Gründ;WPM WW-M;Unternehmensgründung und -nachfolge;Ruehlemann;MBA - WPM;;
WPM UnfMech;WPM AU;Unfallmechanik;FK03 (Baeumler);AU - WPM;;
WPM Verh Mod;WPM LM;Verhandlungsfuehrung und Moderationstechnik;Meier;LM - WPM;;
WPM Verh Mod;WPM AU;Verhandlungsfuehrung und Moderationstechnik;Meier;AU - WPM;;
WPM Wieviel Grün;;Wieviel Grün ist drin?;Simon;;;
WPM WiP-Recht;WPM AU;Wirtschaftsprivatrecht;Wilrich;AU - WPM;;
WT;1A;Werkstofftechnik;Raber;WI - 1 A;;
WT;1B;Werkstofftechnik;Raber;WI - 1 B;;
WT;1C;Werkstofftechnik;Raber;WI - 1 C;;
WT;1LM;Werkstofftechnik;Raber;LM - 1;;
WT;1AU;Werkstofftechnik;Raber;AU - 1;;
WT;2A;Werkstofftechnik;Raber;WI - 2 B;;
WT;2B;Werkstofftechnik;Raber;WI - 2 B;;
WT;2C;Werkstofftechnik;Raber;WI - 2 C;;
WT;2LM;Werkstofftechnik;Raber;LM - 2;;
WT;2AU;Werkstofftechnik;Raber;AU - 2;;
WT-Projekt;3Tec;Werkstofftechnik Projektarbeit;Raber;WI - 3 TEC G1;;
WT-Projekt;3Tec-G2,3Tec-G2/Inf;Werkstofftechnik Projektarbeit;Raber;WI - 3 TEC G2;;
WT-Projekt;3Bio/Inf,3Inf/Bio,3Bio;Werkstofftechnik Projektarbeit;Raber;WI - 3 BIO;;
WT-Projekt;3Bio/Inf,3Inf/Bio,3Tec-G2/Inf,3Inf/Tec;Werkstofftechnik Projektarbeit;Raber;WI - 3 INF;;
WT-Projekt-G1;3Tec;Werkstofftechnik Projektarbeit;Raber;WI - 3 TEC G1;;
WT-Projekt-G1;3Tec-G2,3Tec-G2/Inf;Werkstofftechnik Projektarbeit;Raber;WI - 3 TEC G2;;
WT-Projekt-G1;3Bio/Inf,3Inf/Bio,3Bio;Werkstofftechnik Projektarbeit;Raber;WI - 3 BIO;;
WT-Projekt-G1;3Bio/Inf,3Inf/Bio,3Tec-G2/Inf,3Inf/Tec;Werkstofftechnik Projektarbeit;Raber;WI - 3 INF;;
WT-Projekt-G2;3Tec;Werkstofftechnik Projektarbeit;Raber;WI - 3 TEC G1;;
WT-Projekt-G2;3Tec-G2,3Tec-G2/Inf;Werkstofftechnik Projektarbeit;Raber;WI - 3 TEC G2;;
WT-Projekt-G2;3Bio/Inf,3Inf/Bio,3Bio;Werkstofftechnik Projektarbeit;Raber;WI - 3 BIO;;
WT-Projekt-G2;3Bio/Inf,3Inf/Bio,3Tec-G2/Inf,3Inf/Tec;Werkstofftechnik Projektarbeit;Raber;WI - 3 INF;;
ZellMikro;;Zell- und Mikrobiologie in FK06;Trebesius;;;
